park_name,branch_code,stage,strata,route_code,route_name,Time (start hour),Observed average frequency (oaf),p75_oaf,max_route_fare,target_freq_route,calculated_payments
Nateete Taxi Park,82,Nansana Wakiso,D,nans_gand_nate,Ganda Kyebando,15,60.1428571428571,83.5,4000,35,8.131736526946106
Nateete Taxi Park,82,Nansana Wakiso,D,nans_gand_nate,Ganda Kyebando,16,89.4,111,4000,35,9.585585585585585
Nateete Taxi Park,82,Nansana Wakiso,D,nans_gand_nate,Ganda Kyebando,17,58.3333333333333,71.75,4000,35,7.170731707317073
Nateete Taxi Park,82,Nansana Wakiso,D,nans_kaki_nate,Kakiri,12,43.5,62.75,5000,35,6.191235059760956
Nateete Taxi Park,82,Nansana Wakiso,D,nans_kaki_nate,Kakiri,13,82.6666666666667,104,5000,35,9.288461538461538
Nateete Taxi Park,82,Nansana Wakiso,D,nans_kaki_nate,Kakiri,14,75.875,110,5000,35,9.545454545454545
Nateete Taxi Park,82,Nansana Wakiso,D,nans_kaki_nate,Kakiri,15,60.1428571428571,83.5,5000,35,8.131736526946106
Nateete Taxi Park,82,Nansana Wakiso,D,nans_kaki_nate,Kakiri,16,89.4,111,5000,35,9.585585585585585
Nateete Taxi Park,82,Nansana Wakiso,D,nans_kaki_nate,Kakiri,17,58.3333333333333,71.75,5000,35,7.170731707317073
Valley Park,7,Nateete Kyengera Nsangi Maya,E,nate_nate_vall,Maya (via Nateete Busega),10,45,45,4000,25,6.222222222222222
Valley Park,7,Nateete Kyengera Nsangi Maya,E,nate_nate_vall,Maya (via Nateete Busega),11,55.8571428571429,62.5,4000,25,8.4
Valley Park,7,Nateete Kyengera Nsangi Maya,E,nate_nate_vall,Maya (via Nateete Busega),12,57,72.25,4000,25,9.155709342560554
Valley Park,7,Nateete Kyengera Nsangi Maya,E,nate_nate_vall,Maya (via Nateete Busega),13,46.625,60.5,4000,25,8.214876033057852
Valley Park,7,Nateete Kyengera Nsangi Maya,E,nate_nate_vall,Maya (via Nateete Busega),14,46.4444444444444,53,4000,25,7.39622641509434
Valley Park,8,Namasuba Zana,A,nama_zana_vall,Zana,14,38.1818181818182,50.5,2000,15,9.841584158415843
Valley Park,8,Namasuba Zana,A,nama_zana_vall,Zana,15,32.0769230769231,37,2000,15,8.324324324324325
Valley Park,8,Namasuba Zana,A,nama_zana_vall,Zana,16,30.5833333333333,36.5,2000,15,8.246575342465754
Valley Park,8,Namasuba Zana,A,nama_zana_vall,Zana,17,33.125,34,2000,15,7.823529411764706
